method;numIt;instanceSize;avgNumOp;avgTime;avgMem;
BruteForce;5;10;6912.000000;0.000421;0.000000;
BruteForce;5;12;113061.000000;0.002035;0.000000;
BruteForce;5;14;95111.000000;0.014266;0.000000;
BruteForce;5;16;28506.000000;0.129420;0.000000;
BruteForce;5;18;20652.000000;1.141567;0.000000;
BruteForce;5;20;37644.000000;10.452778;0.000000;
BruteForce;5;22;18676.000000;92.879892;0.000000;
BruteForce;5;24;214403.000000;841.359281;0.000000;
BruteForce;5;6;41912.000000;0.000006;0.000000;
BruteForce;5;8;6694.000000;0.000048;0.000000;
